title,abstract,id,day,month,year
Virtual reality in stroke recovery: a meta-review of systematic reviews.,"Virtual Reality (VR) is an emerging technology in post stroke recovery. However, its precise role in stroke rehabilitation is not well defined. The aim of this paper is to conduct an overview of systematic reviews on the role of VR in stroke rehabilitation. A meta-review with results from a search of 7 databases from inception till 5 th  December 2022 with subsequent quality appraisal was conducted. The primary outcome was to produce a narrative review on the efficacy of VR versus usual or other care in stroke recovery. Data was synthesized in a descriptive fashion and high-quality systematic reviews were emphasized. The AMSTAR-2 tool was used for quality assessment of the included studies. Evidence from high-quality systematic reviews suggests that there is benefit from VR in upper limb, lower limb, gait, and balance recovery particularly when additive to conventional therapy. There is also limited evidence to suggest that VR has a positive effect in those with impaired cognition. VR is safe and effective as an adjunct to conventional therapy for adults after stroke and should be used routinely for upper and lower limb motor recovery. Further high-quality studies that evaluate its efficacy and explore ways to increase its positive impact in areas such as cognition are required. There is also a scope for the development of stroke-specific virtual environments. (PROSPERO registration # CRD42022372926).",39367480,5,10,2024
Current opinion: functional dyspepsia.,"Functional dyspepsia is a common gastrointestinal disease that is under-recognized and under-diagnosed. It is a complex disorder of gut-brain interaction with no FDA-approved treatment options. The purpose of this review is to highlight updates in the proposed pathophysiology and present new data regarding potential therapies for functional dyspepsia. Alterations in the intestinal microbiome and integrity of the intestinal membrane may play a crucial role in the pathogenesis of functional dyspepsia. The low FODMAP diet, in addition to modulating the microbiome with antibiotics and probiotics, are targets for large future studies. Novel methods of delivery of gut-brain therapies have shown promising results, especially virtual reality. The pathophysiology and management of functional dyspepsia is complex and there is still much unknown; however, continued research is identifying new targets for treatment. New and more targeted treatment options provide clinicians a variety of tools to offer patients with functional dyspepsia.",39360697,12,6,2024
"Impact of renality-CASE training on knowledge, skills, and practices in peritoneal dialysis catheter placement among nephrologists.","Despite being an effective home-based kidney replacement therapy, peritoneal dialysis (PD) remains underutilized. The aim of the Renality-CASE training program was to assess its impact on nephrologists by expanding their knowledge of PD therapy and enhancing their catheter placement skills to better offer the PD option. The Renality-CASE program provided two days of training, including theoretical lectures, virtual reality sessions, and hands-on practice of PD catheter placement on live pigs. Eighty-eight participants attended four sessions. An anonymized online questionnaire collected demographic data, self-assessments of knowledge and skills, and feedback. Pre- and post-training comparisons were analyzed using paired samples t-tests and the Wilcoxon signed-rank test, with significance at  p  < 0.05. Fifty-seven out of 88 participants responded to the survey one-year post-training. Post-training, 94.7% felt at least moderately knowledgeable compared to 61.4% pre-training ( p  < 0.001). Confidence in skills increased to 73.6% post-training from 26% pre-training ( p  < 0.001). The number of PD catheters placed by participants also rose significantly ( p  = 0.012). The program received positive feedback and high satisfaction rates. The Renality-CASE program significantly improved nephrologists' PD catheter placement skills through comprehensive training. Despite limitations such as sample size and response bias, the study highlights the need for standardized PD training to enhance clinical practice and increase PD utilization in CKD management.",39360475,3,10,2024
Effect of tDCS combined with virtual reality for post-stroke cognitive impairment: a randomized controlled trial study protocol.,"Post-stroke cognitive impairment (PSCI) not only increases patient mortality and disability, but also adversely affects motor function and the ability to perform routine daily activities. Current therapeutic approaches for, PSCI lack specificity, primarily relying on and medication and traditional cognitive therapy supplemented by a limited array of tools. Both transcranial direct current stimulation (tDCS) and virtual reality (VR) training have demonstrated efficacy in improving cognitive performance among PSCI patients. Previous findings across various conditions suggest that implementing a therapeutic protocol combining tDCS and VR (tDCS - VR) may yield superior in isolation. Despite this, to our knowledge, no clinical investigation combining tDCS and VR for PSCI rehabilitation has been conducted. Thus, the purpose of this study is to explore the effects of tDCS - VR on PSCI rehabilitation. This 4-week, single-center randomized clinical trial protocol will recruit 200 patients who were randomly assigned to one of four groups: Group A (tDCS + VR), Group B (tDCS + sham VR), Group C (sham tDCS + VR), Group D (sham tDCS + sham VR). All four groups will receive conventional cognitive rehabilitation training. The primary outcome measurement utilizes the Mini-Mental State Examination (MMSE). Secondary outcome measures include the Montreal Cognitive Assessment, Frontal Assessment Battery, Clock Drawing Test, Digital Span Test, Logic Memory Test, and Modified Barthel Index. Additionally, S-YYZ-01 apparatus for diagnosis and treating language disorders assesses subjects' speech function. Pre- and post-four-week intervention assessments are conducted for all outcome measures. Functional near-infrared spectroscopy (fNIRS) is employed to observe changes in oxygenated hemoglobin (HbO), deoxy-hemoglobin (HbR), and total hemoglobin (HbT) in the cerebral cortex. Our hypothesis posits that the tDCS - VR therapy, in opposed to individual tDCS or VR interventions, could enhance cognitive function, speech ability and daily living skills in PSCI patients while concurrently augmenting frontal cortical activity. This randomized study aims to provide a robust theoretical foundation supported by scientific evidence for the practical implementation of the tDCS - VR combination as a secure and efficient PSCI rehabilitation approach. Chictr.org.cn Identifier: ChiCTR2300070580. Registered on 17th April 2023.",39358731,2,10,2024
Virtual Reality Technology for Physical and Cognitive Function Rehabilitation in People With Multiple Sclerosis.,"Virtual reality (VR) has significantly expanded the possibilities of medical treatment, particularly in the realm of rehabilitation. VR utilizes advanced technologies to create simulated environments that users perceive as analogous to the real world. Researchers have demonstrated that VR can effectively train motor, sensory, and cognitive functions. This manuscript offers a concise review of recent evidence concerning the effects of VR training on key clinical symptoms in people with multiple sclerosis (pwMS), with the aim of highlighting VR's potential as a complementary rehabilitative tool for improving ubiquitous symptoms of multiple sclerosis (MS)-a neurodegenerative, often disabling, disease. In addition to presenting a brief overview of recent literature on VR for pwMS, this narrative review seeks to provide health professionals with a foundational understanding of VR as a rehabilitative tool in MS. Furthermore, it may aid in identifying gaps in the literature and stimulate the development of new hypotheses and theories regarding the use of VR in patients with a neurodegenerative disease.",39355707,24,9,2024
Efficacy of virtual reality therapy versus pharmacological sedation for reducing pain and anxiety during coronary catheterisation procedures: A prospective randomised controlled trial.,"The use of virtual reality (VR) therapy has grown considerably, as it is effective for reducing pain and anxiety in different clinical areas. However, it has not been well evaluated for coronary angiography and angioplasty. This study aimed to compare VR therapy with pharmacological sedation (Sedation) for reducing pain in patients undergoing a planned coronary angiography or coronary/peripheral angioplasty. In this prospective randomized controlled trial, patients were randomly allocated to one of two groups before catheterization: a Sedation group (injection of midazolam and fentanyl) or a VR group (Deepsen VR headset). The primary outcome measure was the maximum pain during the procedure (visual analogue scale: 0-10). The secondary outcome measures were anxiety following the procedure (Spielberger State Anxiety Inventory: 20-80), the occurrence of arterial spasm, the haemodynamic profile and patient satisfaction. The VR group ( n  = 63) had a mean pain rating of 2.5; for the Sedation group ( n  = 59) this was 1.0. This did not meet the criterion for non-inferiority. Anxiety was comparable between the two groups (VR: 25.4; Sedation: 24.7), as was the occurrence of arterial spasm (VR: 7.9%; Sedation: 8.5%;  p  = 0.91), but blood pressure was higher in the VR group (140.2/71.7 mmHg vs. 121.8/64.7 mmHg). There were no VR-related adverse effects, and patient satisfaction was high for both groups. Virtual reality therapy was not non-inferior to pharmacological sedation for reducing pain during coronary angiography or angioplasty. However, it reduced anxiety to a comparable level. Virtual reality therapy represents an alternative to pharmacological sedation, which is well accepted by patients.",39355099,30,9,2024
An Ensemble Learning Algorithm for Cognitive Evaluation by an Immersive Virtual Reality Supermarket.,"Early screening for Mild Cognitive Impairment (MCI) is crucial in delaying cognitive deterioration and treating dementia. Conventional neuropsychological tests, commonly used for MCI detection, often lack ecological validity due to their simplistic and quiet testing environments. To address this gap, our study developed an immersive VR supermarket cognitive assessment program (IVRSCAP), simulating daily cognitive activities to enhance the ecological validity of MCI detection. This program involved elderly participants from Chengdu Second People's Hospital and various communities, comprising both MCI patients (N=301) and healthy elderly individuals (N=1027). They engaged in the VR supermarket cognitive test, generating complex datasets including User Behavior Data, Tested Cognitive Dimension Game Data, Trajectory Data, and Regional Data. To analyze this data, we introduced an adaptive ensemble learning method for imbalanced samples. Our study's primary contribution is demonstrating the superior performance of this algorithm in classifying MCI and healthy groups based on their performance in IVRSCAP. Comparative analysis confirmed its efficacy over traditional imbalanced sample processing methods and classic ensemble learning voting algorithms, significantly outperforming in metrics such as recall, F1-score, AUC, and G-mean. Our findings advocate the combined use of IVRSCAP and our algorithm as a technologically advanced, ecologically valid approach for enhancing early MCI detection strategies. This aligns with our broader aim of integrating realistic simulations with advanced computational techniques to improve diagnostic accuracy and treatment efficacy in cognitive health assessments.",39348261,30,9,2024
An In Vivo Study to Evaluate and Compare Anxiety and Behavior Management of Pediatric Patients Using Distraction Techniques.,"To compare the efficacy of virtual reality (VR) glasses and on-screen distraction techniques in managing anxiety and behavior in children receiving dental treatments. Forty patients aged 4-8 years requiring restoration were divided into two groups: group I with 20 members using audio-visual distraction aid in the form of VR glasses and group II with 20 participants utilizing on-screen distraction techniques. Each child underwent two appointments one week apart; their anxiety and behavior levels were assessed at each visit using the Facial Image Scale and Frankel's Behavior rating scale. The Wilcoxon signed-rank and Chi-squared test were utilized to assess the correlation between two categorical variables, with VR demonstrating a notable divergence from on-screen distraction. Both on-screen distraction and VR applications decreased anxiety levels and improved behavior. However, VR was substantially more effective in managing these areas.",39346360,3,4,2024
Acute Augmented Effect of Virtual Reality (VR)-Integrated Relaxation and Mindfulness Exercising on Anxiety and Insomnia Symptoms: A Retrospective Analysis of 103 Anxiety Disorder Patients With Prominent Insomnia.,"Anxiety disorder is one of the most common mental disorders and often accompanied with sleep disturbance which can in turn exacerbate anxiety symptoms, creating a vicious cycle. In addition to psychopharmacological therapy, the effectiveness of psychotherapy as cognitive behavioral therapy (CBT) for treating anxiety disorders and insomnia has been well documented and widely accepted, but it is labor-intensive and costly. However, virtual reality (VR)-integrated CBT may improve this condition but needs more evidences to support its extensive application in routine clinical practice. This explorative study was aimed to conduct a retrospective analysis to evaluate the acute (2 weeks) augmented effect of VR-integrated relaxation and mindfulness exercising in improving anxiety and insomnia symptoms for patients who were diagnosed with anxiety disorders and concurrently with prominent insomnia symptoms and admitted to the Department of Psychiatry, The Affiliated Guangdong Second Provincial General Hospital of Jinan University during January 2021 to June 2021. All patients who were admitted to the department of psychiatry during January 1, 2021 to June 30, 2021 were screened with inclusion criteria and exclusion criteria, and the sociodemographic and clinical data of those included patients were collected from the electronic medical record system of the hospital using a self-designed case report form (CRF). Subjects who were administrated with medication alone were designated as conventional group, and those receiving treatment of medication combined with VR-integrated CBT (VR relaxation and mindfulness exercising) as VR group. The baseline and 2-week posttreatment data were compared between the two groups. In total, there were 103 patients (70 female, 68%) included in the study. Among all, 68 (66.02%) were designated as the ""VR group,"" and 35 (33.98%) as the ""conventional group."" The majority of patients (67%) were diagnosed with generalized anxiety disorder (GAD). Twenty-three (22.3%) patients had a comorbid diagnosis with primary insomnia, and insomnia was just one of the accompanying symptoms with anxiety for the rest 80 subjects. No statistically significant differences were found between VR and conventional groups in all baseline sociodemographic and clinical characteristics except for occupation. There were statistically significant differences for the remission rates of anxiety symptoms or insomnia symptoms and reduction of Hamilton Anxiety Rating Scale or Insomnia Severity Index total scores between conventional and VR groups. Greater remission rates or score reductions were found in VR group than in conventional group either for anxiety or for insomnia. Robust differences still existed when controlled for the variable ""occupation."" Two-week augmented VR-integrated relaxation and mindfulness exercising is acutely beneficial for relieving both anxiety and insomnia symptoms and worth being recommended for routine clinical practice. Further prospective and randomized study compared to traditional CBT to explore its acute and long-term effect on anxiety and insomnia is needed.",39344370,NA,NA,NA
Gamified Practice Improves Paretic Arm Motor Behavior in Individuals With Stroke.,"Stroke is a heterogeneous condition, making choice of treatment, and determination of how to structure rehabilitation outcomes diﬃcult. Individualized goal-directed and repetitive physical practice is an important determinant of motor learning. Yet, many investigations of motor learning after stroke deliver task practice without consideration of individual capability of the learner. We developed a gamified arm rehabilitation task for people with stroke that is personalized to individual capacity for paretic arm movement, provides a high dose of practice, progresses through increasingly difficulty levels that are dependent on the performance of the individual, and is practiced in an engaging environment. The objectives of the current study were to determine if 10 days of gamified, object intercept training using the paretic arm would improve arm movement speed and clinical outcome measures of impairment or function. Individuals with chronic stroke and age-matched controls engaged in 10 days of gamified, skilled motor practice of a semi-immersive virtual reality-based intercept and release task. The paretic arm was assessed using the Fugl-Meyer Assessment (motor impairment) and Wolf Motor Function Test (motor function) before and after training. Both groups showed faster arm movement speed with practice; individuals with stroke demonstrated reduced paretic arm motor impairment and increased function after the intervention. Age and sex (for both groups), and time post-stroke were not related to changes in movement speed. Findings indicate that gamified motor training positively affects paretic arm motor behavior in individuals with mild to severe chronic stroke.",39342450,28,9,2024
