id,Gu11uty__OY
published,"2016-02-08 03:51:14"
published_unix,1454903474
title,"Birth Control Pills"
description,"To license this animation and hundreds more for patient engagement and content marketing, visit: http://www.nucleushealth.com/?utm_source=youtube&utm_medium=video-description&utm_campaign=birthcontrol-020716 https://www.youtube.com/watch?v=0YI8W_mJz9U This 3D medical animation of birth control pills shows the anatomy of the female reproductive system and roles of estrogen and progesterone in the menstrual cycle. The animation continues on to describe the difference between combination birth control pills and progestin-only pills, and how they prevent pregnancy. Finally the animation describes the effectiveness of birth control pills if used correctly vs, typical use. #BirthControlPills #CombinationPill #Progestin-onlyPill ANH14127"
channelId,UC85VW73bQLEjs_taFKP7TwQ
channelTitle,"Nucleus Medical Media"
duration,PT5M58S
dimension,2d
definition,hd
caption,true
allowedIn,
blockedIn,
licensedContent,
viewCount,13196185
likeCount,92712
dislikeCount,
favoriteCount,0
commentCount,3364
uploadStatus,processed
privacyStatus,public
license,youtube
embeddable,
publicStatsViewable,
