id,pZYY4egKMQI
published,"2022-12-01 15:01:36"
published_unix,1669906896
title,"How Do Birth Control Pills Work?"
description,"How do birth control pills work? Birth control pills, sometimes called ‘the pill’, are medicines a person takes daily to prevent pregnancy. ----------------- AMAZE takes the awkward out of sex ed. Real info in fun, animated videos that give you all the answers you actually want to know about sex, your body and relationships. Please like, share and subscribe to AMAZE! Follow us on Tik Tok and Insta for more info about puberty and growing up. TikTok: AmazeOrg Insta: AmazeParents http://amaze.org/ [AMZ-145]"
channelId,UCXQZTtGgsy6QHH2fg-OJ_eA
channelTitle,"AMAZE Org"
duration,PT2M53S
dimension,2d
definition,hd
caption,false
allowedIn,
blockedIn,
licensedContent,
viewCount,647892
likeCount,7529
dislikeCount,
favoriteCount,0
commentCount,195
uploadStatus,processed
privacyStatus,public
license,youtube
embeddable,1
publicStatsViewable,1
